Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2024-01-05 14:23:17,2185.00,USD,0.05,BTC,22.50,USD,2185.00,USD,,Buy BTC on Coinbase,
2024-01-08 09:15:42,3454.20,USD,1.5,ETH,34.20,USD,3454.20,USD,,Buy ETH on Coinbase,
2024-01-12 16:45:33,,,0.025,BTC,,,1070.00,USD,transfer,Received from external wallet,
2024-01-15 11:30:00,0.75,ETH,1819.12,USD,18.38,USD,1819.12,USD,,Sell ETH on Coinbase,
2024-01-18 00:00:00,2487.12,USD,25,SOL,24.62,USD,2487.12,USD,,Buy SOL on Coinbase,
2024-01-22 08:00:00,0.02,BTC,0.36,ETH,,,830.00,USD,swap,Converted BTC to ETH,
2024-01-25 00:00:00,,,500,USDC,,,500.00,USD,transfer,Received USDC,
2024-01-28 13:22:18,0.03,BTC,1250.37,USD,12.63,USD,1250.37,USD,,Sell BTC on Coinbase,
2024-02-01 10:15:00,3317.85,USD,0.075,BTC,32.85,USD,3317.85,USD,,Buy BTC on Coinbase,
2024-02-05 00:00:00,1201.90,USD,0.5,ETH,11.90,USD,1201.90,USD,,Buy ETH on Coinbase,
2024-02-08 14:30:22,,,0.0125,ETH,,,30.25,USD,staking,Staking reward,
2024-02-12 09:45:00,1777.60,USD,50,AVAX,17.60,USD,1777.60,USD,,Buy AVAX on Coinbase,
2024-02-15 16:20:15,15,SOL,1603.80,USD,16.20,USD,1603.80,USD,,Sell SOL on Coinbase,
2024-02-18 00:00:00,,,10,GRT,,,1.80,USD,reward,Coinbase Earn reward,
2024-02-22 11:00:00,0.01,BTC,,,,,512.00,USD,transfer,Sent to cold storage,
2024-02-25 08:30:00,5757.00,USD,2,ETH,57.00,USD,5757.00,USD,,Buy ETH on Coinbase,
2024-03-01 14:15:33,25,AVAX,1052.87,USD,9.63,USD,1052.87,USD,,Sell AVAX on Coinbase,
2024-03-05 10:00:00,1,ETH,3100,USDC,,,3100.00,USD,swap,Converted ETH to USDC,
2024-03-08 16:45:00,0.04,BTC,2673.00,USD,27.00,USD,2673.00,USD,,Sell BTC on Coinbase,
2024-03-12 00:00:00,7191.20,USD,0.1,BTC,71.20,USD,7191.20,USD,,Buy BTC on Coinbase,
