Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2024-01-05T14:23:17Z,Buy,BTC,0.05,USD,43250.00,2162.50,2185.00,22.50,
2024-01-08T09:15:42Z,Buy,ETH,1.5,USD,2280.00,3420.00,3454.20,34.20,
2024-01-12T16:45:33Z,Receive,BTC,0.025,USD,42800.00,1070.00,1070.00,0.00,From external wallet
2024-01-15T11:30:00Z,Sell,ETH,0.75,USD,2450.00,1837.50,1819.12,18.38,
01/18/2024,Buy,SOL,25,USD,98.50,2462.50,2487.12,,
2024-01-22T08:00:00Z,Convert,BTC,0.02,USD,41500.00,830.00,830.00,0.00,Converted to ETH
,Receive,USDC,500,USD,1.00,500.00,500.00,0.00,
2024-01-28T13:22:18Z,Sell,BTC,0.03,USD,42100.00,1263.00,1250.37,12.63,
2024-02-01T10:15:00Z,Buy,BTC,0.075,USD,43800.00,3285.00,3317.85,32.85,
2024-02-05T,,ETH,0.5,USD,2380.00,1190.00,1201.90,11.90,
2024-02-08T14:30:22Z,Staking Income,ETH,0.0125,USD,2420.00,30.25,30.25,0.00,Staking reward
2024-02-12T09:45:00Z,Buy,AVAX,50,USD,35.20,1760.00,1777.60,17.60,
2024-02-15T16:20:15Z,Sell,SOL,15,USD,108.00,1620.00,1603.80,16.20,
N/A,Learning Reward,GRT,10,USD,0.18,1.80,1.80,0.00,Coinbase Earn
2024-02-22T11:00:00Z,Send,BTC,0.01,USD,51200.00,512.00,512.00,0.00,Sent to cold storage
2024-02-25T08:30:00Z,Buy,ETH,2,USD,2850.00,5700.00,5757.00,57.00,
2024-03-01T14:15:33Z,Sell,AVAX,25,USD,42.50,1062.50,1052.87,9.63,
2024-03-05T10:00:00Z,Convert,ETH,1,USD,3100.00,3100.00,3100.00,0.00,Converted to USDC
2024-03-08T16:45:00Z,Sell,BTC,0.04,USD,67500.00,2700.00,2673.00,27.00,
2024-03-12,Buy,BTC,0.1,USD,71200.00,7120.00,7191.20,71.20,
